AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Cypher,Kez,295,21,12,3,1.75,200.7,0.89,5,2,3,0.39,2,0,78,,,,,,,,,,,,,,
Chamber,gumi,276,19,12,3,1.58,191.9,0.78,4,5,-1,0.28,1,0,73,,,,,,,,,,,,,,
Omen,Tuber,246,15,17,9,0.88,153.3,0.83,1,0,1,0.2,2,1,91,,,,,,,,,,,,,,
Neon,tammy,237,14,17,3,0.82,164,0.67,3,5,-2,0.28,0,0,60,,,,,,,,,,,,,,
Chamber,Man,236,15,14,2,1.07,141.7,0.61,1,1,0,0.3,1,1,82,,,,,,,,,,,,,,
Breach,xXfortniteboy27,236,13,15,7,0.87,147.9,0.61,3,4,-1,0.19,1,1,51,,,,,,,,,,,,,,
Neon,Youtube WavyVLR,146,10,15,5,0.67,98.1,0.72,1,0,1,0.09,0,0,40,,,,,,,,,,,,,,
Fade,thirstyhuman,96,7,9,6,0.78,64.7,0.72,0,0,0,0.09,0,2,29,,,,,,,,,,,,,,
Brimstone,ste4k,85,6,9,10,0.67,70.2,0.67,0,1,-1,0.28,9,0,33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntrusiveThots,Rice Spice,,13,-,5,,Fracture,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
